"Type" "Class"
"139" "YLR048W" "4"
"140" "YLR048W" "4"
"141" "YLR075W" "4"
"142" "YLR092W" "2"
"143" "YLR103C" "1"
"144" "YLR167W" "4"
"145" "YLR185W" "4"
"146" "YLR212C" "3"
"147" "YLR233C" "1"
"148" "YLR274W" "1"
"149" "YLR287C" "4"
"150" "YLR287C" "4"
"151" "YLR325C" "4"
"152" "YLR333C" "4"
"153" "YLR340W" "4"
"154" "YLR344W" "4"
"155" "YLR367W" "4"
"156" "YLR388W" "4"
"157" "YLR388W" "4"
"158" "YLR406C" "4"
"159" "YLR406C" "4"
"160" "YLR438W" "2"
"161" "YLR439W" "4"
"162" "YLR441C" "4"
"163" "YLR448W" "4"
"164" "YML009C" "4"
"165" "YML024W" "4"
"166" "YML026C" "4"
"167" "YML063W" "4"
"168" "YML065W" "1"
"169" "YML073C" "4"
"170" "YML102W" "1"
"171" "YMR001C" "1"
"172" "YMR024W" "4"
"173" "YMR042W" "2"
"174" "YMR072W" "1"
"175" "YMR117C" "3"
"176" "YMR121C" "4"
"177" "YMR143W" "4"
"178" "YMR143W" "4"
"179" "YMR188C" "4"
"180" "YMR194W" "4"
"181" "YMR198W" "3"
"182" "YMR225C" "4"
"183" "YMR230W" "4"
"184" "YMR242C" "4"
"185" "YMR284W" "1"
"186" "YMR286W" "4"
"187" "YMR294W" "3"
"188" "YNL067W" "4"
"189" "YNL088W" "1"
"190" "YNL096C" "4"
"191" "YNL096C" "4"
"192" "YNL102W" "1"
"193" "YNL126W" "3"
"194" "YNL142W" "2"
"195" "YNL252C" "4"
"196" "YNL290W" "1"
"197" "YNL301C" "4"
"198" "YNL302C" "4"
"199" "YNL306W" "4"
"200" "YNL312W" "1"
"201" "YNR036C" "4"
"202" "YOL039W" "4"
"203" "YOL040C" "4"
"204" "YOL058W" "2"
"205" "YOL069W" "3"
"206" "YOL127W" "4"
"207" "YOR167C" "4"
"208" "YOR167C" "4"
"209" "YOR234C" "4"
"210" "YOR293W" "4"
"211" "YOR293W" "4"
"212" "YOR293W" "4"
"213" "YOR312C" "4"
"214" "YOR330C" "1"
"215" "YOR369C" "4"
"216" "YOR373W" "3"
"217" "YPL013C" "4"
"218" "YPL081W" "4"
"219" "YPL090C" "4"
"220" "YPL124W" "3"
"221" "YPL143W" "4"
"222" "YPL173W" "4"
"223" "YPL198W" "4"
"224" "YPL198W" "4"
"225" "YPL249C" "4"
"226" "YPL255W" "3"
"227" "YPL256C" "1"
"228" "YPR003C" "2"
"229" "YPR018W" "1"
"230" "YPR019W" "1"
"231" "YPR043W" "4"
"232" "YPR102C" "4"
"233" "YPR120C" "1"
"234" "YPR135W" "1"
"235" "YPR141C" "3"
"236" "YPR167C" "2"
"237" "YPR175W" "1"
